127.0.0.1 - - [27/Aug/2020:09:07:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:07:31 +0900] "GET /codestudy/node_modules/bootstrap/dist/css/bootstrap.css HTTP/1.1" 200 145933
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:07:31 +0900] "GET /codestudy/node_modules/bootstrap/dist/js/bootstrap.js HTTP/1.1" 200 75484
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:07:31 +0900] "GET /codestudy/node_modules/jquery/dist/jquery.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:07:31 +0900] "GET /codestudy/css/main.css HTTP/1.1" 200 5827
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:07:33 +0900] "GET /codestudy/node_modules/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:07:33 +0900] "GET /codestudy/index.do HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:07:33 +0900] "GET /codestudy/js/main.js HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:07:45 +0900] "GET /codestudy/css/plan.css HTTP/1.1" 200 1021
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:07:45 +0900] "GET /codestudy/plan/index.do HTTP/1.1" 200 11291
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:07:50 +0900] "GET /codestudy/css/auth.css HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:07:50 +0900] "GET /codestudy/member/auth.do HTTP/1.1" 200 7031
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:07:53 +0900] "POST /codestudy/member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:07:53 +0900] "GET /codestudy/index.do HTTP/1.1" 200 6322
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:07:53 +0900] "GET /codestudy/pic/mobile_1440421138.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:08:05 +0900] "GET /codestudy/plan/index.do HTTP/1.1" 200 12195
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:08:05 +0900] "GET /codestudy/pic/mobile_1440421138.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:10:12 +0900] "POST /codestudy/plan/add.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:10:12 +0900] "GET /codestudy/plan/index.do HTTP/1.1" 200 12195
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:10:12 +0900] "GET /codestudy/pic/mobile_1440421138.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:21:18 +0900] "GET /codestudy/index.do HTTP/1.1" 200 6322
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:21:18 +0900] "GET /codestudy/pic/mobile_1440421138.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:21:19 +0900] "GET /codestudy/css/history.css HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:21:19 +0900] "GET /codestudy/history/index.do HTTP/1.1" 200 8289
0:0:0:0:0:0:0:1 - - [27/Aug/2020:09:21:19 +0900] "GET /codestudy/pic/mobile_1440421138.jpg HTTP/1.1" 404 850
